Query_ID	Name	Query_position	Position_hg18	Size	Status	Global_freq	Functional_effect
1	HsInv0142	chr2:132212664-132296190	chr2:22055851-175422977	153,353,507	Predicted	ND	Breaks one gene
1	HsInv0252	chr2:132212664-132296190	chr2:132230248-132280102	40,015	Predicted	ND	Intergenic breakpoints
3	HsInv0706	chr7:143482930-143659984	chr7:143505509-143598326	80,943	Unreliable prediction	ND	Intergenic breakpoints
3	HsInv0490	chr7:143482930-143659984	chr7:143516588-143599940	78,076	Unreliable prediction	ND	Breaks two genes
3	HsInv0704	chr7:143482930-143659984	chr7:143570908-143727960	123,685	Unreliable prediction	ND	Intergenic breakpoints
3	HsInv0483	chr7:143482930-143659984	chr7:143613413-143698960	84,604	Unreliable prediction	ND	Breaks one gene
3	HsInv0065	chr7:143482930-143659984	chr7:143146370-143594175	445,806	Predicted	ND	Breaks two genes
3	HsInv0707	chr7:143482930-143659984	chr7:143464170-143543508	40,653	Predicted	ND	Intergenic breakpoints
3	HsInv0295	chr7:143482930-143659984	chr7:143575721-143631195	54,390	Predicted	ND	Intergenic breakpoints
6	HsInv0501	chr8:10788040-10989831	chr8:6909898-12617968	4,695,489	Validated	ND	Intergenic breakpoints
6	HsInv0717	chr8:10788040-10989831	chr8:6909899-12617968	4,695,488	Predicted	ND	Intergenic breakpoints
6	HsInv0494	chr8:10788040-10989831	chr8:6909899-12617968	4,695,488	Predicted	ND	Intergenic breakpoints
6	HsInv0496	chr8:10788040-10989831	chr8:6909899-12617968	4,695,488	Predicted	ND	Intergenic breakpoints
6	HsInv0713	chr8:10788040-10989831	chr8:6909899-12617968	4,695,488	Predicted	ND	Intergenic breakpoints
6	HsInv0497	chr8:10788040-10989831	chr8:6909899-12617968	4,695,488	Predicted	ND	Intergenic breakpoints
6	HsInv0712	chr8:10788040-10989831	chr8:6909899-12617968	4,693,244	Predicted	ND	Intergenic breakpoints
7	HsInv0145	chr12:53854224-54196264	chr12:2125392-77191631	75,052,620	Predicted	ND	Breaks one gene
7	HsInv0146	chr12:53854224-54196264	chr12:25842266-124374676	98,518,791	Predicted	ND	Intergenic breakpoints
8	HsInv0363	chr16:14726491-15330232	chr16:14770485-15354091	573,607	Validated	ND	Intergenic breakpoints
8	HsInv0551	chr16:14726491-15330232	chr16:14917241-15036276	112,022	Unreliable prediction	ND	Breaks one gene
8	HsInv0365	chr16:14726491-15330232	chr16:15272748-16494434	1,213,539	Unreliable prediction	ND	Intergenic breakpoints
8	HsInv0780	chr16:14726491-15330232	chr16:14857191-14934166	39,774	Predicted	ND	Breaks one gene
9	HsInv0152	chr16:21431013-22370715	chr16:21500310-22619613	1,116,424	False	NA	NA
10	HsInv0034	chr17:55445357-55574572	chr17:55551838-55557395	3,558	False	NA	NA
10	HsInv0371	chr17:55445357-55574572	chr17:55465239-55554129	80,469	Predicted	ND	Intergenic breakpoints
11	HsInv0606	chrX:119058498-119203370	chrX:119054144-119225861	97,469	Unreliable prediction	ND	Intergenic breakpoints
11	HsInv0084	chrX:119058498-119203370	chrX:103190036-119082776	15,890,741	Predicted	ND	Intergenic breakpoints
14	HsInv0128	chr1:98474478-98513467	chr1:81375981-104747203	23,357,603	Predicted	ND	Intergenic breakpoints
14	HsInv0127	chr1:98474478-98513467	chr1:86142709-171659884	85,503,556	Predicted	ND	Breaks two genes
15	HsInv0228	chr1:148070510-148081872	chr1:148055664-148114553	32,833	Validated	ND	Intergenic breakpoints
15	HsInv0127	chr1:148070510-148081872	chr1:86142709-171659884	85,503,556	Predicted	ND	Breaks two genes
17	HsInv0101	chr4:116300621-116328201	chr4:12352-191259333	191,233,362	Predicted	ND	Intergenic breakpoints
17	HsInv0096	chr4:116300621-116328201	chr4:7451787-164864697	157,399,291	Predicted	ND	Breaks two genes
28	HsInv0120	chr11:2618017-2634789	chr11:1569332-70959050	69,376,099	Predicted	ND	Breaks one gene
29	HsInv0145	chr12:71878170-71968157	chr12:2125392-77191631	75,052,620	Predicted	ND	Breaks one gene
29	HsInv0146	chr12:71878170-71968157	chr12:25842266-124374676	98,518,791	Predicted	ND	Intergenic breakpoints
35	HsInv0030	chr16:73800097-73812112	chr16:73797041-73814718	17,120	Validated	0.9287	Breaks two genes
38	HsInv0410	chrX:47839526-47863047	chrX:47835979-47840376	3,346	Validated	ND	Intergenic breakpoints
39	HsInv0819	chrX:52968124-52979667	chrX:52938670-53011944	48,591	Unreliable prediction	ND	Intergenic breakpoints
41	HsInv0394	chrX:148573685-148608833	chrX:148482066-148661652	156,953	Unreliable prediction	ND	Intergenic breakpoints
41	HsInv0816	chrX:148573685-148608833	chrX:148443269-148700670	236,822	Unreliable prediction	ND	Intergenic breakpoints
41	HsInv0603	chrX:148573685-148608833	chrX:148551817-148638371	85,150	Unreliable prediction	ND	Intergenic breakpoints
41	HsInv0822	chrX:148573685-148608833	chrX:148556676-148620164	46,982	Unreliable prediction	ND	Intergenic breakpoints
